timestamp|uid|name|gender|email|phone|dept|grade|language|region|role|preferTags|obtainedCredits
506328859000|0|user0|male|email0|phone0|dept3|grade3|zh|Beijing|role0|tags12|24
506328859001|1|user1|male|email1|phone1|dept3|grade4|zh|Hong Kong|role2|tags2|95
506328859002|2|user2|female|email2|phone2|dept8|grade3|zh|Hong Kong|role1|tags13|59
506328859003|3|user3|male|email3|phone3|dept0|grade3|zh|Beijing|role2|tags48|49
506328859004|4|user4|female|email4|phone4|dept16|grade4|zh|Beijing|role2|tags19|16
506328859005|5|user5|male|email5|phone5|dept14|grade3|zh|Beijing|role1|tags47|35
506328859006|6|user6|male|email6|phone6|dept19|grade4|zh|Beijing|role1|tags40|60
506328859007|7|user7|male|email7|phone7|dept15|grade1|zh|Beijing|role0|tags26|93
506328859008|8|user8|male|email8|phone8|dept5|grade2|zh|Hong Kong|role2|tags33|13
506328859009|9|user9|female|email9|phone9|dept5|grade3|zh|Beijing|role1|tags22|29
506328859010|10|user10|male|email10|phone10|dept5|grade1|zh|Beijing|role0|tags8|60
506328859011|11|user11|male|email11|phone11|dept15|grade3|zh|Beijing|role0|tags49|43
506328859012|12|user12|male|email12|phone12|dept16|grade3|en|Beijing|role1|tags1|15
506328859013|13|user13|male|email13|phone13|dept9|grade1|zh|Beijing|role1|tags40|76
506328859014|14|user14|male|email14|phone14|dept19|grade2|zh|Beijing|role2|tags14|56
506328859015|15|user15|male|email15|phone15|dept4|grade2|zh|Beijing|role0|tags37|87
506328859016|16|user16|male|email16|phone16|dept8|grade4|zh|Beijing|role0|tags13|77
506328859017|17|user17|male|email17|phone17|dept9|grade1|en|Beijing|role2|tags5|69
506328859018|18|user18|male|email18|phone18|dept9|grade4|zh|Beijing|role2|tags8|63
506328859019|19|user19|male|email19|phone19|dept6|grade3|zh|Hong Kong|role1|tags28|28
506328859020|20|user20|female|email20|phone20|dept19|grade3|en|Hong Kong|role0|tags17|47
506328859021|21|user21|male|email21|phone21|dept16|grade3|zh|Hong Kong|role1|tags37|93
506328859022|22|user22|male|email22|phone22|dept4|grade2|zh|Beijing|role1|tags20|67
506328859023|23|user23|male|email23|phone23|dept12|grade3|zh|Beijing|role2|tags14|7
506328859024|24|user24|female|email24|phone24|dept2|grade2|zh|Beijing|role1|tags43|74
506328859025|25|user25|male|email25|phone25|dept6|grade2|zh|Hong Kong|role2|tags32|98
506328859026|26|user26|male|email26|phone26|dept19|grade2|zh|Hong Kong|role1|tags22|70
506328859027|27|user27|female|email27|phone27|dept19|grade3|zh|Beijing|role0|tags29|64
506328859028|28|user28|female|email28|phone28|dept7|grade2|en|Hong Kong|role1|tags6|11
506328859029|29|user29|male|email29|phone29|dept3|grade3|zh|Beijing|role0|tags22|80
506328859030|30|user30|female|email30|phone30|dept8|grade1|zh|Hong Kong|role2|tags47|27
506328859031|31|user31|male|email31|phone31|dept11|grade3|zh|Beijing|role2|tags17|35
506328859032|32|user32|male|email32|phone32|dept12|grade4|zh|Hong Kong|role0|tags40|85
